챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
쓰레쉬,51.2%,1606,종말의 겨울 + 얼어붙은 심장,84.6%,13,강철심장 + 해신 작쇼,80.0%,10,강철심장 + 란두인의 예언,76.9%,13,강철심장 + 종말의 겨울,48.3%,329,종말의 겨울 + 강철심장,47.6%,147,종말의 겨울 + 끝없는 절망,52.3%,107
피들스틱,51.2%,879,악의 + 균열 생성기,80.0%,10,악의 + 라일라이의 수정홀,72.7%,11,존야의 모래시계 + 라일라이의 수정홀,60.0%,10,악의 + 존야의 모래시계,53.2%,188,악의 + 리안드리의 고통,52.3%,151,존야의 모래시계 + 악의,54.1%,74
자르반 4세,51.1%,1037,쇼진의 창 + 갈라진 하늘,83.3%,12,강철심장 + 끝없는 절망,58.3%,12,갈라진 하늘 + 스테락의 도전,57.1%,28,갈라진 하늘 + 월식,49.8%,217,월식 + 갈라진 하늘,55.7%,61,갈라진 하늘 + 쇼진의 창,49.2%,61
브랜드,51.1%,1283,라일라이의 수정홀 + 리안드리의 고통,72.7%,22,어둠불꽃 횃불 + 라일라이의 수정홀,58.1%,86,어둠불꽃 횃불 + 그림자불꽃,57.1%,28,어둠불꽃 횃불 + 리안드리의 고통,52.9%,429,악의 + 리안드리의 고통,50.0%,130,어둠불꽃 횃불 + 라일라이의 수정홀,58.1%,86
벨코즈,51.1%,1051,어둠불꽃 횃불 + 리안드리의 고통,60.4%,96,루덴의 메아리 + 라바돈의 죽음모자,60.0%,20,루덴의 메아리 + 그림자불꽃,56.4%,110,악의 + 리안드리의 고통,49.5%,196,루덴의 메아리 + 그림자불꽃,56.4%,110,어둠불꽃 횃불 + 리안드리의 고통,60.4%,96
렐,51.1%,570,강철심장 + 란두인의 예언,69.2%,13,강철심장 + 가시 갑옷,61.9%,21,강철심장 + 종말의 겨울,53.3%,105,강철심장 + 종말의 겨울,53.3%,105,종말의 겨울 + 끝없는 절망,38.8%,49,종말의 겨울 + 강철심장,51.6%,31
시비르,50.9%,1319,나보리 명멸검 + 윤 탈 야생화살,84.6%,13,무한의 대검 + 정수 약탈자,63.6%,11,스태틱의 단검 + 윤 탈 야생화살,60.0%,10,윤 탈 야생화살 + 나보리 명멸검,50.9%,324,윤 탈 야생화살 + 무한의 대검,53.3%,122,스태틱의 단검 + 나보리 명멸검,45.0%,120
릴리아,50.9%,666,악의 + 리안드리의 고통,80.0%,10,리안드리의 고통 + 존야의 모래시계,61.9%,21,어둠불꽃 횃불 + 존야의 모래시계,61.3%,31,어둠불꽃 횃불 + 리안드리의 고통,49.2%,187,리안드리의 고통 + 균열 생성기,45.1%,51,어둠불꽃 횃불 + 존야의 모래시계,61.3%,31
제이스,50.9%,1763,세릴다의 원한 + 무라마나,63.6%,22,오만 + 월식,61.5%,13,밤의 끝자락 + 무라마나,61.5%,13,오만 + 무라마나,49.8%,566,무라마나 + 오만,55.3%,217,징수의 총 + 무라마나,46.9%,175
일라오이,50.9%,397,갈라진 하늘 + 스테락의 도전,62.5%,16,갈라진 하늘 + 정령의 형상,60.0%,35,갈라진 하늘 + 칠흑의 양날 도끼,60.0%,15,갈라진 하늘 + 얼어붙은 건틀릿,48.2%,114,갈라진 하늘 + 정령의 형상,60.0%,35,강철심장 + 갈라진 하늘,41.2%,17
아펠리오스,50.9%,1101,루난의 허리케인 + 무한의 대검,90.9%,11,징수의 총 + 도미닉 경의 인사,60.0%,15,무한의 대검 + 루난의 허리케인,60.0%,15,징수의 총 + 무한의 대검,53.7%,339,윤 탈 야생화살 + 무한의 대검,51.5%,99,징수의 총 + 루난의 허리케인,42.1%,76
라칸,50.9%,631,강철의 솔라리 펜던트 + 구원,71.4%,14,끝없는 절망 + 종말의 겨울,66.7%,12,종말의 겨울 + 강철의 솔라리 펜던트,62.9%,35,강철심장 + 종말의 겨울,45.7%,94,종말의 겨울 + 강철심장,51.3%,39,종말의 겨울 + 강철의 솔라리 펜던트,62.9%,35
밀리오,50.9%,634,슈렐리아의 군가 + 구원,75.0%,12,월석 재생기 + 대천사의 포옹,61.1%,72,월석 재생기 + 미카엘의 축복,60.0%,20,월석 재생기 + 구원,54.7%,86,월석 재생기 + 대천사의 포옹,61.1%,72,월석 재생기 + 불타는 향로,51.1%,47
모르가나,50.8%,1554,악의 + 리안드리의 고통,70.0%,10,라일라이의 수정홀 + 리안드리의 고통,64.7%,17,리안드리의 고통 + 그림자불꽃,60.0%,10,어둠불꽃 횃불 + 리안드리의 고통,56.6%,327,어둠불꽃 횃불 + 존야의 모래시계,49.2%,193,존야의 모래시계 + 리안드리의 고통,52.8%,106
크산테,50.8%,771,해신 작쇼 + 끝없는 절망,75.0%,12,얼어붙은 건틀릿 + 란두인의 예언,70.6%,34,끝없는 절망 + 얼어붙은 건틀릿,70.6%,17,얼어붙은 건틀릿 + 끝없는 절망,44.7%,141,강철심장 + 얼어붙은 건틀릿,43.6%,55,강철심장 + 끝없는 절망,52.6%,38
피오라,50.8%,378,삼위일체 + 굶주린 히드라,68.7%,67,발걸음 분쇄기 + 갈라진 하늘,63.6%,11,굶주린 히드라 + 갈라진 하늘,50.0%,18,굶주린 히드라 + 삼위일체,46.7%,92,삼위일체 + 굶주린 히드라,68.7%,67,삼위일체 + 갈라진 하늘,44.8%,29
우르곳,50.6%,314,거대한 히드라 + 강철심장,55.6%,45,거대한 히드라 + 칠흑의 양날 도끼,53.8%,26,강철심장 + 칠흑의 양날 도끼,50.0%,18,강철심장 + 거대한 히드라,43.5%,62,거대한 히드라 + 강철심장,55.6%,45,거대한 히드라 + 칠흑의 양날 도끼,53.8%,26
레오나,50.6%,642,종말의 겨울 + 강철심장,60.5%,43,강철심장 + 란두인의 예언,60.0%,10,종말의 겨울 + 워모그의 갑옷,60.0%,10,강철심장 + 종말의 겨울,53.3%,120,강철심장 + 끝없는 절망,44.0%,84,종말의 겨울 + 끝없는 절망,58.1%,43
