챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
가렌,48.7%,626,강철심장 + 발걸음 분쇄기,63.6%,11,강철심장 + 워모그의 갑옷,60.0%,10,발걸음 분쇄기 + 칠흑의 양날 도끼,59.6%,57,발걸음 분쇄기 + 유령 무희,45.7%,140,발걸음 분쇄기 + 칠흑의 양날 도끼,59.6%,57,유령 무희 + 발걸음 분쇄기,58.7%,46
카직스,48.7%,891,오만 + 세릴다의 원한,75.0%,12,오만 + 요우무의 유령검,56.2%,16,요우무의 유령검 + 무라마나,52.6%,19,오만 + 무라마나,46.5%,260,무라마나 + 오만,45.1%,82,징수의 총 + 무라마나,50.0%,74
요네,48.6%,1390,몰락한 왕의 검 + 크라켄 학살자,90.0%,10,몰락한 왕의 검 + 발걸음 분쇄기,64.3%,14,불멸의 철갑궁 + 무한의 대검,57.9%,19,몰락한 왕의 검 + 불멸의 철갑궁,49.1%,495,몰락한 왕의 검 + 무한의 대검,50.8%,120,윤 탈 야생화살 + 무한의 대검,37.7%,61
조이,48.5%,1193,폭풍 쇄도 + 루덴의 메아리,62.5%,24,루덴의 메아리 + 지평선의 초점,59.6%,146,루덴의 메아리 + 리치베인,54.2%,24,루덴의 메아리 + 폭풍 쇄도,47.6%,357,루덴의 메아리 + 그림자불꽃,47.3%,241,루덴의 메아리 + 지평선의 초점,59.6%,146
스웨인,48.5%,1002,종말의 겨울 + 라일라이의 수정홀,70.6%,17,라일라이의 수정홀 + 영겁의 지팡이,63.6%,11,영겁의 지팡이 + 악의,58.8%,17,영겁의 지팡이 + 라일라이의 수정홀,47.9%,217,악의 + 라일라이의 수정홀,46.4%,69,영겁의 지팡이 + 균열 생성기,48.8%,43
유미,48.3%,976,월석 재생기 + 대천사의 포옹,70.6%,17,루덴의 메아리 + 미카엘의 축복,64.7%,17,구원 + 월석 재생기,62.1%,29,루덴의 메아리 + 지평선의 초점,46.4%,183,월석 재생기 + 미카엘의 축복,50.7%,71,루덴의 메아리 + 그림자불꽃,50.0%,62
나피리,48.2%,471,월식 + 불경한 히드라,60.0%,10,오만 + 쇼진의 창,60.0%,10,불경한 히드라 + 월식,53.8%,13,오만 + 월식,50.6%,154,월식 + 칠흑의 양날 도끼,38.1%,21,월식 + 쇼진의 창,47.4%,19
신드라,48.0%,996,라바돈의 죽음모자 + 루덴의 메아리,91.7%,12,존야의 모래시계 + 폭풍 쇄도,70.0%,10,폭풍 쇄도 + 루덴의 메아리,68.8%,16,루덴의 메아리 + 폭풍 쇄도,41.6%,243,루덴의 메아리 + 그림자불꽃,47.6%,206,루덴의 메아리 + 라바돈의 죽음모자,47.3%,55
타릭,48.0%,252,종말의 겨울 + 끝없는 절망,54.8%,31,종말의 겨울 + 강철심장,43.5%,23,강철심장 + 종말의 겨울,42.9%,70,강철심장 + 종말의 겨울,42.9%,70,종말의 겨울 + 끝없는 절망,54.8%,31,종말의 겨울 + 강철심장,43.5%,23
아리,47.9%,1544,어둠불꽃 횃불 + 우주의 추진력,66.7%,12,영겁의 지팡이 + 존야의 모래시계,63.6%,11,그림자불꽃 + 라바돈의 죽음모자,60.0%,10,악의 + 그림자불꽃,52.5%,177,루덴의 메아리 + 폭풍 쇄도,41.5%,159,악의 + 폭풍 쇄도,47.0%,132
녹턴,47.9%,290,발걸음 분쇄기 + 실험적 마공학판,69.2%,13,징수의 총 + 원칙의 원형낫,57.1%,14,실험적 마공학판 + 발걸음 분쇄기,47.1%,17,오만 + 원칙의 원형낫,44.4%,27,징수의 총 + 무라마나,36.8%,19,실험적 마공학판 + 발걸음 분쇄기,47.1%,17
그레이브즈,47.8%,1120,징수의 총 + 도미닉 경의 인사,60.5%,38,원칙의 원형낫 + 징수의 총,60.0%,10,징수의 총 + 오만,58.3%,12,징수의 총 + 무한의 대검,44.9%,294,오만 + 징수의 총,50.8%,132,징수의 총 + 피바라기,54.4%,68
제리,47.8%,1100,악의 + 폭풍 쇄도,63.6%,11,무한의 대검 + 스태틱의 단검,63.6%,11,헤르메스의 시미터 + 루난의 허리케인,60.0%,10,윤 탈 야생화살 + 루난의 허리케인,49.4%,324,스태틱의 단검 + 루난의 허리케인,50.0%,180,윤 탈 야생화살 + 무한의 대검,53.6%,56
티모,47.8%,966,그림자불꽃 + 리안드리의 고통,63.6%,11,악의 + 라바돈의 죽음모자,60.7%,28,악의 + 그림자불꽃,55.7%,61,악의 + 리안드리의 고통,47.1%,401,리안드리의 고통 + 악의,47.1%,85,악의 + 그림자불꽃,55.7%,61
스몰더,47.8%,1510,쇼진의 창 + 삼위일체,66.7%,18,무한의 대검 + 고속 연사포,63.6%,11,정수 약탈자 + 피바라기,63.6%,11,삼위일체 + 무라마나,46.0%,428,무라마나 + 삼위일체,48.1%,162,정수 약탈자 + 쇼진의 창,47.1%,140
퀸,47.7%,520,윤 탈 야생화살 + 징수의 총,76.9%,13,무한의 대검 + 징수의 총,60.0%,10,스태틱의 단검 + 몰락한 왕의 검,58.3%,12,스태틱의 단검 + 징수의 총,39.5%,76,징수의 총 + 무한의 대검,50.0%,60,징수의 총 + 벼락폭풍검,42.9%,28
제드,47.2%,1532,세릴다의 원한 + 월식,80.0%,10,월식 + 원칙의 원형낫,61.9%,42,오만 + 벼락폭풍검,56.5%,23,오만 + 원칙의 원형낫,48.7%,308,오만 + 월식,48.2%,222,월식 + 칠흑의 양날 도끼,44.4%,63
루시안,47.1%,1881,정수 약탈자 + 고속 연사포,76.9%,13,도미닉 경의 인사 + 정수 약탈자,75.0%,12,크라켄 학살자 + 징수의 총,63.6%,11,정수 약탈자 + 나보리 명멸검,46.8%,485,정수 약탈자 + 무한의 대검,46.1%,165,징수의 총 + 무한의 대검,43.7%,135
케인,47.1%,473,갈라진 하늘 + 칠흑의 양날 도끼,63.6%,11,갈라진 하늘 + 죽음의 무도,63.6%,11,월식 + 쇼진의 창,54.5%,11,월식 + 칠흑의 양날 도끼,43.1%,65,오만 + 무라마나,43.2%,44,월식 + 갈라진 하늘,45.0%,20
아지르,47.0%,1071,존야의 모래시계 + 내셔의 이빨,71.4%,14,리안드리의 고통 + 존야의 모래시계,70.0%,10,존야의 모래시계 + 라일라이의 수정홀,70.0%,10,내셔의 이빨 + 리안드리의 고통,48.2%,326,내셔의 이빨 + 존야의 모래시계,52.2%,90,내셔의 이빨 + 라일라이의 수정홀,34.8%,66
카사딘,46.7%,424,대천사의 포옹 + 존야의 모래시계,61.5%,13,대천사의 포옹 + 영겁의 지팡이,57.4%,54,존야의 모래시계 + 대천사의 포옹,50.0%,18,영겁의 지팡이 + 대천사의 포옹,49.6%,133,대천사의 포옹 + 영겁의 지팡이,57.4%,54,악의 + 대천사의 포옹,39.3%,28
말파이트,46.5%,1371,종말의 겨울 + 강철심장,73.3%,15,끝없는 절망 + 종말의 겨울,72.7%,11,악의 + 공허의 지팡이,64.7%,17,악의 + 폭풍 쇄도,47.0%,362,악의 + 그림자불꽃,35.6%,146,악의 + 라바돈의 죽음모자,37.0%,46
마스터 이,46.4%,625,몰락한 왕의 검 + 실험적 마공학판,60.0%,10,몰락한 왕의 검 + 구인수의 격노검,58.2%,122,몰락한 왕의 검 + 마법사의 최후,56.7%,30,몰락한 왕의 검 + 구인수의 격노검,58.2%,122,징수의 총 + 무한의 대검,37.5%,40,징수의 총 + 몰락한 왕의 검,32.3%,31
니코,46.2%,1153,존야의 모래시계 + 루덴의 메아리,66.7%,15,그림자불꽃 + 마법공학 로켓 벨트,61.5%,13,존야의 모래시계 + 그림자불꽃,61.1%,18,마법공학 로켓 벨트 + 존야의 모래시계,48.1%,162,마법공학 로켓 벨트 + 악의,41.8%,158,악의 + 마법공학 로켓 벨트,44.2%,156
레넥톤,46.1%,529,갈라진 하늘 + 칠흑의 양날 도끼,66.7%,15,갈라진 하늘 + 쇼진의 창,60.0%,20,월식 + 쇼진의 창,53.3%,15,월식 + 갈라진 하늘,40.5%,126,갈라진 하늘 + 월식,50.0%,60,갈라진 하늘 + 스테락의 도전,48.4%,31
렝가,46.0%,439,월식 + 갈라진 하늘,60.0%,10,갈라진 하늘 + 월식,60.0%,10,강철심장 + 끝없는 절망,50.0%,24,오만 + 징수의 총,41.4%,29,오만 + 불경한 히드라,27.6%,29,강철심장 + 끝없는 절망,50.0%,24
바이,45.9%,676,갈라진 하늘 + 죽음의 무도,64.5%,31,갈라진 하늘 + 칠흑의 양날 도끼,63.9%,36,갈라진 하늘 + 스테락의 도전,50.0%,12,갈라진 하늘 + 월식,44.4%,178,월식 + 갈라진 하늘,43.1%,58,갈라진 하늘 + 칠흑의 양날 도끼,63.9%,36
에코,45.8%,727,리치베인 + 그림자불꽃,70.6%,17,존야의 모래시계 + 마법공학 로켓 벨트,65.1%,43,리치베인 + 폭풍 쇄도,65.0%,20,마법공학 로켓 벨트 + 리치베인,51.2%,121,마법공학 로켓 벨트 + 존야의 모래시계,35.2%,88,리치베인 + 마법공학 로켓 벨트,40.3%,72
카이사,45.6%,2004,존야의 모래시계 + 크라켄 학살자,66.7%,12,내셔의 이빨 + 크라켄 학살자,64.3%,14,스태틱의 단검 + 존야의 모래시계,60.0%,20,크라켄 학살자 + 구인수의 격노검,45.2%,345,루덴의 메아리 + 지평선의 초점,47.0%,166,스태틱의 단검 + 구인수의 격노검,43.2%,146
벨베스,45.5%,310,강철심장 + 몰락한 왕의 검,53.3%,15,몰락한 왕의 검 + 크라켄 학살자,52.0%,25,크라켄 학살자 + 몰락한 왕의 검,49.2%,65,크라켄 학살자 + 몰락한 왕의 검,49.2%,65,몰락한 왕의 검 + 크라켄 학살자,52.0%,25,강철심장 + 몰락한 왕의 검,53.3%,15
키아나,45.2%,644,불경한 히드라 + 오만,64.3%,14,불경한 히드라 + 원칙의 원형낫,53.3%,15,원칙의 원형낫 + 불경한 히드라,53.3%,15,오만 + 원칙의 원형낫,41.2%,136,오만 + 무라마나,40.0%,60,오만 + 불경한 히드라,45.5%,44
피즈,45.0%,744,존야의 모래시계 + 그림자불꽃,76.9%,13,폭풍 쇄도 + 존야의 모래시계,64.7%,17,리치베인 + 존야의 모래시계,61.9%,21,강철심장 + 끝없는 절망,39.7%,116,루덴의 메아리 + 리치베인,36.7%,60,루덴의 메아리 + 존야의 모래시계,46.2%,39
이블린,44.9%,167,루덴의 메아리 + 폭풍 쇄도,45.5%,11,폭풍 쇄도 + 그림자불꽃,45.0%,20,리치베인 + 그림자불꽃,40.0%,10,폭풍 쇄도 + 리치베인,31.4%,35,폭풍 쇄도 + 그림자불꽃,45.0%,20,루덴의 메아리 + 폭풍 쇄도,45.5%,11
유나라,44.8%,669,몰락한 왕의 검 + 루난의 허리케인,56.4%,39,윤 탈 야생화살 + 무한의 대검,52.6%,38,무한의 대검 + 크라켄 학살자,50.0%,14,윤 탈 야생화살 + 루난의 허리케인,39.7%,189,크라켄 학살자 + 루난의 허리케인,45.9%,98,몰락한 왕의 검 + 루난의 허리케인,56.4%,39
질리언,44.7%,835,루덴의 메아리 + 지평선의 초점,68.2%,22,루덴의 메아리 + 라바돈의 죽음모자,65.0%,20,대천사의 포옹 + 악의,60.0%,25,루덴의 메아리 + 폭풍 쇄도,36.9%,111,대천사의 포옹 + 우주의 추진력,47.6%,42,루덴의 메아리 + 그림자불꽃,34.1%,41
바드,44.6%,697,리치베인 + 루덴의 메아리,72.7%,11,루덴의 메아리 + 라바돈의 죽음모자,58.3%,12,루덴의 메아리 + 내셔의 이빨,55.0%,20,루덴의 메아리 + 리치베인,44.9%,136,루덴의 메아리 + 고속 연사포,36.1%,108,스태틱의 단검 + 고속 연사포,48.4%,31
르블랑,44.6%,1336,폭풍 쇄도 + 루덴의 메아리,72.2%,18,루덴의 메아리 + 지평선의 초점,60.0%,10,그림자불꽃 + 라바돈의 죽음모자,60.0%,10,루덴의 메아리 + 폭풍 쇄도,47.2%,373,루덴의 메아리 + 그림자불꽃,42.3%,272,루덴의 메아리 + 라바돈의 죽음모자,55.7%,79
드레이븐,44.3%,724,오만 + 피바라기,90.0%,10,피바라기 + 무한의 대검,64.9%,37,정수 약탈자 + 무한의 대검,60.0%,10,징수의 총 + 무한의 대검,38.9%,162,징수의 총 + 피바라기,40.6%,106,피바라기 + 징수의 총,48.2%,56
파이크,43.4%,1479,불경한 히드라 + 요우무의 유령검,63.6%,22,오만 + 기회,60.0%,10,원칙의 원형낫 + 요우무의 유령검,55.4%,65,오만 + 원칙의 원형낫,43.9%,319,오만 + 요우무의 유령검,46.4%,97,요우무의 유령검 + 원칙의 원형낫,46.5%,86
아칼리,42.9%,1069,강철심장 + 워모그의 갑옷,68.4%,19,균열 생성기 + 리안드리의 고통,66.7%,15,리치베인 + 그림자불꽃,55.6%,18,강철심장 + 균열 생성기,45.4%,130,폭풍 쇄도 + 그림자불꽃,43.3%,97,마법공학 로켓 벨트 + 존야의 모래시계,45.9%,74
누누와 윌럼프,42.9%,546,마법공학 로켓 벨트 + 폭풍 쇄도,50.0%,20,루덴의 메아리 + 그림자불꽃,42.3%,26,루덴의 메아리 + 폭풍 쇄도,41.4%,128,루덴의 메아리 + 폭풍 쇄도,41.4%,128,폭풍 쇄도 + 그림자불꽃,37.1%,35,루덴의 메아리 + 그림자불꽃,42.3%,26
카타리나,41.5%,919,크라켄 학살자 + 몰락한 왕의 검,63.6%,11,그림자불꽃 + 존야의 모래시계,57.1%,14,거대한 히드라 + 강철심장,53.3%,60,강철심장 + 거대한 히드라,52.4%,103,거대한 히드라 + 강철심장,53.3%,60,리치베인 + 그림자불꽃,36.7%,60

