챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
녹턴,47.8%,46,오만 + 원칙의 원형낫,40.0%,5,오만 + 무라마나,20.0%,5,-,-,-,오만 + 무라마나,20.0%,5,오만 + 원칙의 원형낫,40.0%,5,-,-,-
베인,47.6%,189,몰락한 왕의 검 + 구인수의 격노검,55.7%,61,마법사의 최후 + 몰락한 왕의 검,50.0%,6,크라켄 학살자 + 몰락한 왕의 검,33.3%,6,몰락한 왕의 검 + 구인수의 격노검,55.7%,61,몰락한 왕의 검 + 마법사의 최후,31.2%,16,크라켄 학살자 + 구인수의 격노검,25.0%,8
누누와 윌럼프,47.5%,61,폭풍 쇄도 + 그림자불꽃,50.0%,6,루덴의 메아리 + 폭풍 쇄도,36.4%,11,-,-,-,루덴의 메아리 + 폭풍 쇄도,36.4%,11,폭풍 쇄도 + 그림자불꽃,50.0%,6,-,-,-
모르가나,47.5%,255,루덴의 메아리 + 존야의 모래시계,71.4%,7,리안드리의 고통 + 어둠불꽃 횃불,68.8%,16,존야의 모래시계 + 어둠불꽃 횃불,60.0%,5,어둠불꽃 횃불 + 리안드리의 고통,46.8%,62,어둠불꽃 횃불 + 존야의 모래시계,38.1%,42,리안드리의 고통 + 어둠불꽃 횃불,68.8%,16
일라오이,47.3%,55,갈라진 하늘 + 정령의 형상,66.7%,9,갈라진 하늘 + 얼어붙은 건틀릿,36.4%,11,-,-,-,갈라진 하늘 + 얼어붙은 건틀릿,36.4%,11,갈라진 하늘 + 정령의 형상,66.7%,9,-,-,-
아칼리,47.2%,176,존야의 모래시계 + 마법공학 로켓 벨트,62.5%,8,강철심장 + 균열 생성기,60.9%,23,리안드리의 고통 + 균열 생성기,60.0%,5,강철심장 + 균열 생성기,60.9%,23,폭풍 쇄도 + 그림자불꽃,46.7%,15,마법공학 로켓 벨트 + 존야의 모래시계,53.8%,13
아크샨,47.1%,104,징수의 총 + 크라켄 학살자,60.0%,5,크라켄 학살자 + 몰락한 왕의 검,50.0%,6,스태틱의 단검 + 징수의 총,47.4%,19,스태틱의 단검 + 징수의 총,47.4%,19,징수의 총 + 무한의 대검,41.2%,17,크라켄 학살자 + 징수의 총,28.6%,7
피즈,47.0%,117,리치베인 + 존야의 모래시계,100.0%,6,루덴의 메아리 + 존야의 모래시계,83.3%,6,존야의 모래시계 + 리치베인,57.1%,7,강철심장 + 끝없는 절망,42.1%,19,루덴의 메아리 + 리치베인,18.2%,11,존야의 모래시계 + 리치베인,57.1%,7
카시오페아,46.9%,81,라일라이의 수정홀 + 대천사의 포옹,80.0%,5,영겁의 지팡이 + 대천사의 포옹,50.0%,26,대천사의 포옹 + 영겁의 지팡이,33.3%,12,영겁의 지팡이 + 대천사의 포옹,50.0%,26,대천사의 포옹 + 영겁의 지팡이,33.3%,12,라일라이의 수정홀 + 대천사의 포옹,80.0%,5
세주아니,46.9%,64,강철심장 + 종말의 겨울,70.6%,17,강철심장 + 끝없는 절망,25.0%,8,종말의 겨울 + 강철심장,14.3%,7,강철심장 + 종말의 겨울,70.6%,17,강철심장 + 끝없는 절망,25.0%,8,종말의 겨울 + 강철심장,14.3%,7
그레이브즈,46.7%,182,징수의 총 + 불멸의 철갑궁,75.0%,8,징수의 총 + 도미닉 경의 인사,50.0%,10,징수의 총 + 월식,42.9%,7,징수의 총 + 무한의 대검,38.2%,34,오만 + 징수의 총,33.3%,24,징수의 총 + 피바라기,36.4%,11
렝가,46.7%,60,폭풍 쇄도 + 그림자불꽃,80.0%,5,오만 + 징수의 총,20.0%,5,-,-,-,폭풍 쇄도 + 그림자불꽃,80.0%,5,오만 + 징수의 총,20.0%,5,-,-,-
