챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
뽀삐,58.8%,114,끝없는 절망 + 종말의 겨울,80.0%,5,종말의 겨울 + 끝없는 절망,80.0%,5,강철심장 + 종말의 겨울,69.7%,33,강철심장 + 종말의 겨울,69.7%,33,종말의 겨울 + 강철심장,57.1%,14,끝없는 절망 + 종말의 겨울,80.0%,5
벨코즈,58.7%,179,루덴의 메아리 + 폭풍 쇄도,83.3%,6,악의 + 리안드리의 고통,66.7%,36,어둠불꽃 횃불 + 리안드리의 고통,66.7%,15,악의 + 리안드리의 고통,66.7%,36,악의 + 그림자불꽃,33.3%,15,어둠불꽃 횃불 + 리안드리의 고통,66.7%,15
아이번,58.0%,69,월석 재생기 + 구원,84.6%,13,구원 + 월석 재생기,71.4%,7,악의 + 라일라이의 수정홀,0.0%,5,월석 재생기 + 구원,84.6%,13,구원 + 월석 재생기,71.4%,7,악의 + 라일라이의 수정홀,0.0%,5
알리스타,57.8%,147,종말의 겨울 + 강철심장,83.3%,6,가시 갑옷 + 종말의 겨울,80.0%,5,강철심장 + 끝없는 절망,71.4%,7,강철심장 + 종말의 겨울,50.0%,24,종말의 겨울 + 끝없는 절망,66.7%,18,강철심장 + 끝없는 절망,71.4%,7
스카너,57.1%,63,종말의 겨울 + 끝없는 절망,83.3%,6,강철심장 + 종말의 겨울,75.0%,16,종말의 겨울 + 강철심장,42.9%,7,강철심장 + 종말의 겨울,75.0%,16,종말의 겨울 + 강철심장,42.9%,7,종말의 겨울 + 끝없는 절망,83.3%,6
빅토르,56.7%,201,어둠불꽃 횃불 + 존야의 모래시계,100.0%,5,루덴의 메아리 + 그림자불꽃,68.2%,22,어둠불꽃 횃불 + 리안드리의 고통,59.4%,32,어둠불꽃 횃불 + 리안드리의 고통,59.4%,32,루덴의 메아리 + 그림자불꽃,68.2%,22,루덴의 메아리 + 리치베인,50.0%,12
판테온,56.7%,157,갈라진 하늘 + 죽음의 무도,80.0%,5,월식 + 갈라진 하늘,68.0%,50,갈라진 하늘 + 칠흑의 양날 도끼,60.0%,5,월식 + 갈라진 하늘,68.0%,50,갈라진 하늘 + 월식,41.2%,17,갈라진 하늘 + 쇼진의 창,37.5%,8
탐 켄치,56.2%,121,강철심장 + 워모그의 갑옷,68.8%,16,강철심장 + 끝없는 절망,64.3%,28,강철심장 + 란두인의 예언,60.0%,5,강철심장 + 끝없는 절망,64.3%,28,강철심장 + 워모그의 갑옷,68.8%,16,종말의 겨울 + 강철심장,55.6%,9
노틸러스,55.9%,179,강철심장 + 태양불꽃 방패,80.0%,5,종말의 겨울 + 끝없는 절망,73.3%,15,끝없는 절망 + 종말의 겨울,57.1%,7,강철심장 + 종말의 겨울,50.0%,32,종말의 겨울 + 강철심장,55.0%,20,종말의 겨울 + 끝없는 절망,73.3%,15
코그모,55.9%,170,악의 + 리안드리의 고통,83.3%,6,몰락한 왕의 검 + 마법사의 최후,75.0%,8,악의 + 루덴의 메아리,66.7%,6,몰락한 왕의 검 + 구인수의 격노검,59.4%,32,악의 + 대천사의 포옹,53.8%,13,대천사의 포옹 + 악의,41.7%,12
소나,55.9%,102,월석 재생기 + 미카엘의 축복,80.0%,5,월석 재생기 + 대천사의 포옹,66.7%,24,대천사의 포옹 + 월석 재생기,54.5%,11,월석 재생기 + 대천사의 포옹,66.7%,24,대천사의 포옹 + 월석 재생기,54.5%,11,월석 재생기 + 구원,54.5%,11
그라가스,55.9%,179,영겁의 지팡이 + 우주의 추진력,83.3%,6,종말의 겨울 + 영겁의 지팡이,83.3%,6,종말의 겨울 + 강철심장,57.1%,7,루덴의 메아리 + 그림자불꽃,56.5%,23,루덴의 메아리 + 폭풍 쇄도,45.5%,22,영겁의 지팡이 + 종말의 겨울,55.6%,9
니코,55.7%,185,마법공학 로켓 벨트 + 악의,70.6%,17,악의 + 존야의 모래시계,66.7%,6,마법공학 로켓 벨트 + 존야의 모래시계,63.6%,33,마법공학 로켓 벨트 + 존야의 모래시계,63.6%,33,악의 + 마법공학 로켓 벨트,44.4%,18,마법공학 로켓 벨트 + 악의,70.6%,17
세트,55.6%,142,강철심장 + 워모그의 갑옷,91.7%,12,발걸음 분쇄기 + 워모그의 갑옷,80.0%,5,발걸음 분쇄기 + 지배자의 피갑옷,64.7%,17,강철심장 + 지배자의 피갑옷,51.6%,31,발걸음 분쇄기 + 지배자의 피갑옷,64.7%,17,강철심장 + 워모그의 갑옷,91.7%,12
사미라,55.6%,198,무한의 대검 + 징수의 총,88.9%,9,오만 + 징수의 총,70.0%,10,불멸의 철갑궁 + 징수의 총,66.7%,6,징수의 총 + 무한의 대검,47.6%,84,징수의 총 + 불멸의 철갑궁,60.0%,20,오만 + 징수의 총,70.0%,10
자야,55.6%,196,무한의 대검 + 나보리 명멸검,83.3%,6,윤 탈 야생화살 + 무한의 대검,76.9%,13,나보리 명멸검 + 무한의 대검,71.4%,7,윤 탈 야생화살 + 나보리 명멸검,52.4%,63,정수 약탈자 + 나보리 명멸검,50.0%,14,윤 탈 야생화살 + 무한의 대검,76.9%,13
잔나,55.5%,146,제국의 명령 + 월석 재생기,75.0%,8,루덴의 메아리 + 지평선의 초점,66.7%,6,월석 재생기 + 구원,62.5%,8,제국의 명령 + 대천사의 포옹,47.1%,17,제국의 명령 + 구원,46.2%,13,월석 재생기 + 대천사의 포옹,44.4%,9
갈리오,54.9%,153,강철심장 + 종말의 겨울,60.0%,25,종말의 겨울 + 공허한 광휘,50.0%,12,종말의 겨울 + 강철심장,50.0%,8,강철심장 + 종말의 겨울,60.0%,25,종말의 겨울 + 공허한 광휘,50.0%,12,종말의 겨울 + 강철심장,50.0%,8
쓰레쉬,54.7%,236,종말의 겨울 + 끝없는 절망,65.0%,20,강철심장 + 종말의 겨울,62.0%,50,강철의 솔라리 펜던트 + 종말의 겨울,60.0%,5,강철심장 + 종말의 겨울,62.0%,50,종말의 겨울 + 끝없는 절망,65.0%,20,종말의 겨울 + 강철심장,57.9%,19
암베사,54.7%,106,월식 + 쇼진의 창,51.1%,45,월식 + 칠흑의 양날 도끼,50.0%,6,쇼진의 창 + 월식,37.5%,8,월식 + 쇼진의 창,51.1%,45,쇼진의 창 + 월식,37.5%,8,월식 + 칠흑의 양날 도끼,50.0%,6
레나타 글라스크,54.5%,121,강철의 솔라리 펜던트 + 구원,60.0%,5,구원 + 슈렐리아의 군가,60.0%,5,제국의 명령 + 악의,60.0%,5,제국의 명령 + 대천사의 포옹,50.0%,16,대천사의 포옹 + 제국의 명령,42.9%,7,슈렐리아의 군가 + 강철의 솔라리 펜던트,57.1%,7
브라움,54.5%,110,종말의 겨울 + 강철심장,100.0%,8,강철심장 + 종말의 겨울,58.3%,12,종말의 겨울 + 워모그의 갑옷,57.1%,7,강철심장 + 종말의 겨울,58.3%,12,종말의 겨울 + 끝없는 절망,55.6%,9,종말의 겨울 + 강철심장,100.0%,8
오른,54.5%,99,강철심장 + 끝없는 절망,78.6%,14,강철심장 + 워모그의 갑옷,71.4%,7,강철심장 + 종말의 겨울,42.9%,7,강철심장 + 끝없는 절망,78.6%,14,강철심장 + 종말의 겨울,42.9%,7,강철심장 + 워모그의 갑옷,71.4%,7
세라핀,54.4%,160,월석 재생기 + 대천사의 포옹,80.0%,5,어둠불꽃 횃불 + 리안드리의 고통,77.8%,9,악의 + 라일라이의 수정홀,57.6%,33,악의 + 라일라이의 수정홀,57.6%,33,악의 + 리안드리의 고통,39.1%,23,어둠불꽃 횃불 + 리안드리의 고통,77.8%,9
오로라,54.4%,204,루덴의 메아리 + 존야의 모래시계,83.3%,6,루덴의 메아리 + 폭풍 쇄도,60.0%,25,악의 + 리안드리의 고통,53.3%,15,루덴의 메아리 + 그림자불꽃,38.1%,42,루덴의 메아리 + 폭풍 쇄도,60.0%,25,악의 + 그림자불꽃,50.0%,18
루시안,54.4%,287,정수 약탈자 + 징수의 총,70.0%,10,나보리 명멸검 + 무한의 대검,66.7%,6,징수의 총 + 무한의 대검,64.3%,14,정수 약탈자 + 나보리 명멸검,59.7%,72,정수 약탈자 + 무한의 대검,48.0%,25,징수의 총 + 무한의 대검,64.3%,14
카직스,54.3%,129,오만 + 징수의 총,75.0%,8,오만 + 무라마나,59.5%,42,징수의 총 + 무라마나,44.4%,9,오만 + 무라마나,59.5%,42,무라마나 + 오만,40.0%,15,징수의 총 + 무라마나,44.4%,9
멜,53.9%,230,그림자불꽃 + 리안드리의 고통,83.3%,6,루덴의 메아리 + 존야의 모래시계,66.7%,6,어둠불꽃 횃불 + 우주의 추진력,60.0%,5,루덴의 메아리 + 리안드리의 고통,53.7%,41,어둠불꽃 횃불 + 리안드리의 고통,51.7%,29,루덴의 메아리 + 그림자불꽃,44.0%,25
야스오,53.9%,193,윤 탈 야생화살 + 무한의 대검,66.7%,9,몰락한 왕의 검 + 불멸의 철갑궁,61.4%,57,불멸의 철갑궁 + 무한의 대검,60.0%,5,몰락한 왕의 검 + 불멸의 철갑궁,61.4%,57,몰락한 왕의 검 + 무한의 대검,59.1%,22,윤 탈 야생화살 + 무한의 대검,66.7%,9
진,53.8%,325,원칙의 원형낫 + 징수의 총,83.3%,6,징수의 총 + 도미닉 경의 인사,77.8%,9,고속 연사포 + 무한의 대검,71.4%,7,징수의 총 + 무한의 대검,43.4%,83,징수의 총 + 고속 연사포,55.6%,36,징수의 총 + 원칙의 원형낫,50.0%,24
신 짜오,53.8%,91,월식 + 갈라진 하늘,100.0%,5,갈라진 하늘 + 죽음의 무도,80.0%,5,갈라진 하늘 + 월식,53.1%,32,갈라진 하늘 + 월식,53.1%,32,월식 + 갈라진 하늘,100.0%,5,갈라진 하늘 + 죽음의 무도,80.0%,5
가렌,53.8%,93,발걸음 분쇄기 + 칠흑의 양날 도끼,66.7%,9,발걸음 분쇄기 + 망자의 갑옷,54.5%,11,강철심장 + 가시 갑옷,50.0%,6,발걸음 분쇄기 + 유령 무희,47.1%,17,발걸음 분쇄기 + 망자의 갑옷,54.5%,11,발걸음 분쇄기 + 칠흑의 양날 도끼,66.7%,9
오공,53.8%,117,삼위일체 + 갈라진 하늘,60.0%,15,갈라진 하늘 + 삼위일체,56.8%,37,갈라진 하늘 + 죽음의 무도,33.3%,6,갈라진 하늘 + 삼위일체,56.8%,37,삼위일체 + 갈라진 하늘,60.0%,15,갈라진 하늘 + 칠흑의 양날 도끼,28.6%,7
잭스,53.8%,130,삼위일체 + 존야의 모래시계,66.7%,6,갈라진 하늘 + 삼위일체,60.0%,5,삼위일체 + 쇼진의 창,57.1%,7,삼위일체 + 갈라진 하늘,47.9%,48,삼위일체 + 쇼진의 창,57.1%,7,삼위일체 + 존야의 모래시계,66.7%,6
키아나,53.8%,93,오만 + 징수의 총,80.0%,5,오만 + 원칙의 원형낫,58.8%,17,오만 + 무라마나,20.0%,5,오만 + 원칙의 원형낫,58.8%,17,오만 + 불경한 히드라,14.3%,7,오만 + 징수의 총,80.0%,5
벡스,53.7%,134,악의 + 존야의 모래시계,60.0%,5,루덴의 메아리 + 존야의 모래시계,52.9%,17,루덴의 메아리 + 그림자불꽃,50.0%,22,루덴의 메아리 + 그림자불꽃,50.0%,22,루덴의 메아리 + 폭풍 쇄도,50.0%,22,루덴의 메아리 + 존야의 모래시계,52.9%,17
킨드레드,53.5%,86,윤 탈 야생화살 + 무한의 대검,55.6%,9,크라켄 학살자 + 징수의 총,37.5%,8,윤 탈 야생화살 + 징수의 총,36.4%,11,윤 탈 야생화살 + 징수의 총,36.4%,11,윤 탈 야생화살 + 무한의 대검,55.6%,9,크라켄 학살자 + 징수의 총,37.5%,8
니달리,53.3%,257,어둠불꽃 횃불 + 리안드리의 고통,66.7%,12,루덴의 메아리 + 리치베인,66.7%,6,루덴의 메아리 + 지평선의 초점,65.4%,26,루덴의 메아리 + 폭풍 쇄도,50.9%,53,루덴의 메아리 + 그림자불꽃,60.8%,51,루덴의 메아리 + 지평선의 초점,65.4%,26
룰루,53.3%,210,월석 재생기 + 구원,76.2%,21,슈렐리아의 군가 + 미카엘의 축복,75.0%,8,월석 재생기 + 미카엘의 축복,70.0%,10,월석 재생기 + 구원,76.2%,21,월석 재생기 + 대천사의 포옹,33.3%,21,월석 재생기 + 불타는 향로,46.7%,15
케이틀린,53.1%,309,무한의 대검 + 징수의 총,72.7%,11,윤 탈 야생화살 + 무한의 대검,61.9%,84,무한의 대검 + 고속 연사포,60.0%,10,윤 탈 야생화살 + 무한의 대검,61.9%,84,징수의 총 + 무한의 대검,38.6%,44,징수의 총 + 고속 연사포,52.2%,23
케일,53.0%,100,크라켄 학살자 + 구인수의 격노검,66.7%,6,몰락한 왕의 검 + 구인수의 격노검,53.8%,13,내셔의 이빨 + 구인수의 격노검,53.8%,13,몰락한 왕의 검 + 구인수의 격노검,53.8%,13,내셔의 이빨 + 구인수의 격노검,53.8%,13,몰락한 왕의 검 + 마법사의 최후,16.7%,6
세나,52.7%,239,스태틱의 단검 + 고속 연사포,66.7%,21,무한의 대검 + 고속 연사포,60.0%,5,스태틱의 단검 + 무한의 대검,60.0%,5,스태틱의 단검 + 칠흑의 양날 도끼,55.6%,54,스태틱의 단검 + 고속 연사포,66.7%,21,징수의 총 + 무라마나,58.8%,17
신드라,52.6%,154,루덴의 메아리 + 폭풍 쇄도,56.4%,39,루덴의 메아리 + 라바돈의 죽음모자,54.5%,11,루덴의 메아리 + 그림자불꽃,54.1%,37,루덴의 메아리 + 폭풍 쇄도,56.4%,39,루덴의 메아리 + 그림자불꽃,54.1%,37,루덴의 메아리 + 라바돈의 죽음모자,54.5%,11
흐웨이,52.5%,177,루덴의 메아리 + 리안드리의 고통,83.3%,6,어둠불꽃 횃불 + 그림자불꽃,60.0%,10,루덴의 메아리 + 폭풍 쇄도,60.0%,5,어둠불꽃 횃불 + 리안드리의 고통,55.4%,56,어둠불꽃 횃불 + 그림자불꽃,60.0%,10,루덴의 메아리 + 그림자불꽃,50.0%,8
아펠리오스,52.3%,174,징수의 총 + 루난의 허리케인,58.3%,12,징수의 총 + 무한의 대검,53.1%,49,윤 탈 야생화살 + 무한의 대검,50.0%,22,징수의 총 + 무한의 대검,53.1%,49,윤 탈 야생화살 + 무한의 대검,50.0%,22,징수의 총 + 루난의 허리케인,58.3%,12
바루스,52.3%,258,오만 + 무라마나,64.8%,54,무라마나 + 요우무의 유령검,60.0%,5,무라마나 + 오만,56.2%,16,오만 + 무라마나,64.8%,54,징수의 총 + 무라마나,42.9%,35,무라마나 + 징수의 총,44.4%,18
카서스,52.2%,134,어둠불꽃 횃불 + 리안드리의 고통,92.9%,14,악의 + 어둠불꽃 횃불,66.7%,6,악의 + 그림자불꽃,33.3%,9,악의 + 리안드리의 고통,32.4%,34,어둠불꽃 횃불 + 리안드리의 고통,92.9%,14,악의 + 그림자불꽃,33.3%,9
나미,52.1%,142,제국의 명령 + 대천사의 포옹,70.0%,20,제국의 명령 + 월석 재생기,64.3%,14,월석 재생기 + 제국의 명령,60.0%,5,제국의 명령 + 대천사의 포옹,70.0%,20,제국의 명령 + 월석 재생기,64.3%,14,제국의 명령 + 구원,38.5%,13
크산테,52.0%,125,얼어붙은 건틀릿 + 해신 작쇼,60.0%,5,얼어붙은 건틀릿 + 공허한 광휘,60.0%,5,얼어붙은 건틀릿 + 끝없는 절망,48.1%,27,얼어붙은 건틀릿 + 끝없는 절망,48.1%,27,강철심장 + 얼어붙은 건틀릿,42.9%,7,얼어붙은 건틀릿 + 해신 작쇼,60.0%,5
코르키,52.0%,179,징수의 총 + 무한의 대검,80.0%,5,삼위일체 + 무라마나,57.6%,66,삼위일체 + 징수의 총,42.9%,7,삼위일체 + 무라마나,57.6%,66,무라마나 + 삼위일체,40.9%,22,삼위일체 + 징수의 총,42.9%,7
사이온,52.0%,102,강철심장 + 끝없는 절망,60.9%,23,강철심장 + 거대한 히드라,60.0%,5,강철심장 + 공허한 광휘,50.0%,6,강철심장 + 끝없는 절망,60.9%,23,강철심장 + 워모그의 갑옷,36.4%,11,강철심장 + 공허한 광휘,50.0%,6
렐,51.9%,106,강철심장 + 끝없는 절망,66.7%,6,종말의 겨울 + 해신 작쇼,66.7%,6,강철심장 + 종말의 겨울,50.0%,18,강철심장 + 종말의 겨울,50.0%,18,종말의 겨울 + 끝없는 절망,44.4%,9,강철심장 + 끝없는 절망,66.7%,6
쉬바나,51.9%,52,폭풍 쇄도 + 그림자불꽃,70.0%,10,리안드리의 고통 + 폭풍 쇄도,40.0%,5,-,-,-,폭풍 쇄도 + 그림자불꽃,70.0%,10,리안드리의 고통 + 폭풍 쇄도,40.0%,5,-,-,-
칼리스타,51.8%,139,징수의 총 + 몰락한 왕의 검,60.0%,5,몰락한 왕의 검 + 구인수의 격노검,58.5%,53,몰락한 왕의 검 + 마법사의 최후,57.1%,7,몰락한 왕의 검 + 구인수의 격노검,58.5%,53,구인수의 격노검 + 몰락한 왕의 검,25.0%,8,몰락한 왕의 검 + 루난의 허리케인,14.3%,7
자르반 4세,51.7%,151,월식 + 갈라진 하늘,70.0%,10,갈라진 하늘 + 월식,65.7%,35,갈라진 하늘 + 쇼진의 창,53.8%,13,갈라진 하늘 + 월식,65.7%,35,갈라진 하늘 + 쇼진의 창,53.8%,13,월식 + 갈라진 하늘,70.0%,10
이렐리아,51.7%,143,마법사의 최후 + 몰락한 왕의 검,60.0%,5,몰락한 왕의 검 + 죽음의 무도,57.1%,7,몰락한 왕의 검 + 마법사의 최후,50.0%,24,몰락한 왕의 검 + 갈라진 하늘,45.7%,35,몰락한 왕의 검 + 마법사의 최후,50.0%,24,몰락한 왕의 검 + 죽음의 무도,57.1%,7
레오나,51.7%,89,강철심장 + 끝없는 절망,72.7%,11,강철심장 + 종말의 겨울,30.8%,13,강철심장 + 가시 갑옷,0.0%,7,강철심장 + 종말의 겨울,30.8%,13,강철심장 + 끝없는 절망,72.7%,11,강철심장 + 가시 갑옷,0.0%,7
브랜드,51.5%,204,악의 + 어둠불꽃 횃불,66.7%,6,어둠불꽃 횃불 + 라일라이의 수정홀,64.7%,17,악의 + 리안드리의 고통,63.2%,19,어둠불꽃 횃불 + 리안드리의 고통,44.6%,65,악의 + 리안드리의 고통,63.2%,19,어둠불꽃 횃불 + 라일라이의 수정홀,64.7%,17
우디르,51.4%,74,악의 + 리안드리의 고통,45.5%,11,종말의 겨울 + 리안드리의 고통,37.5%,8,-,-,-,악의 + 리안드리의 고통,45.5%,11,종말의 겨울 + 리안드리의 고통,37.5%,8,-,-,-
카사딘,51.2%,82,대천사의 포옹 + 영겁의 지팡이,62.5%,8,영겁의 지팡이 + 대천사의 포옹,41.4%,29,존야의 모래시계 + 대천사의 포옹,40.0%,5,영겁의 지팡이 + 대천사의 포옹,41.4%,29,대천사의 포옹 + 영겁의 지팡이,62.5%,8,존야의 모래시계 + 대천사의 포옹,40.0%,5
아트록스,51.0%,196,쇼진의 창 + 벼락폭풍검,71.4%,7,갈라진 하늘 + 죽음의 무도,61.5%,13,쇼진의 창 + 갈라진 하늘,60.0%,5,월식 + 갈라진 하늘,40.0%,40,갈라진 하늘 + 월식,50.0%,20,갈라진 하늘 + 쇼진의 창,45.0%,20
말파이트,51.0%,206,루덴의 메아리 + 폭풍 쇄도,100.0%,5,강철심장 + 끝없는 절망,66.7%,6,악의 + 존야의 모래시계,60.0%,5,악의 + 폭풍 쇄도,43.6%,55,악의 + 그림자불꽃,50.0%,24,강철심장 + 가시 갑옷,50.0%,6
자크,51.0%,96,끝없는 절망 + 정령의 형상,66.7%,6,강철심장 + 정령의 형상,53.8%,13,강철심장 + 끝없는 절망,37.5%,16,강철심장 + 끝없는 절망,37.5%,16,강철심장 + 정령의 형상,53.8%,13,끝없는 절망 + 정령의 형상,66.7%,6
엘리스,51.0%,49,루덴의 메아리 + 폭풍 쇄도,85.7%,7,루덴의 메아리 + 그림자불꽃,45.5%,11,-,-,-,루덴의 메아리 + 그림자불꽃,45.5%,11,루덴의 메아리 + 폭풍 쇄도,85.7%,7,-,-,-
카타리나,50.9%,169,리치베인 + 존야의 모래시계,100.0%,6,거대한 히드라 + 강철심장,85.7%,7,리치베인 + 그림자불꽃,80.0%,5,강철심장 + 거대한 히드라,37.5%,16,폭풍 쇄도 + 그림자불꽃,54.5%,11,강철심장 + 몰락한 왕의 검,57.1%,7
아지르,50.7%,207,라일라이의 수정홀 + 내셔의 이빨,80.0%,5,내셔의 이빨 + 그림자불꽃,75.0%,8,어둠불꽃 횃불 + 내셔의 이빨,71.4%,7,내셔의 이빨 + 리안드리의 고통,49.2%,63,내셔의 이빨 + 라일라이의 수정홀,36.4%,11,리안드리의 고통 + 내셔의 이빨,63.6%,11
케넨,50.7%,146,마법공학 로켓 벨트 + 그림자불꽃,62.5%,24,마법공학 로켓 벨트 + 폭풍 쇄도,55.0%,20,마법공학 로켓 벨트 + 존야의 모래시계,52.9%,17,마법공학 로켓 벨트 + 그림자불꽃,62.5%,24,마법공학 로켓 벨트 + 폭풍 쇄도,55.0%,20,존야의 모래시계 + 마법공학 로켓 벨트,50.0%,18
리산드라,50.7%,136,악의 + 리안드리의 고통,66.7%,12,존야의 모래시계 + 악의,59.1%,22,악의 + 존야의 모래시계,54.3%,35,악의 + 존야의 모래시계,54.3%,35,존야의 모래시계 + 악의,59.1%,22,악의 + 리안드리의 고통,66.7%,12
문도 박사,50.6%,89,강철심장 + 워모그의 갑옷,58.1%,31,강철심장 + 정령의 형상,50.0%,10,강철심장 + 끝없는 절망,50.0%,8,강철심장 + 워모그의 갑옷,58.1%,31,강철심장 + 정령의 형상,50.0%,10,강철심장 + 끝없는 절망,50.0%,8
요네,50.5%,222,윤 탈 야생화살 + 무한의 대검,88.9%,9,몰락한 왕의 검 + 발걸음 분쇄기,80.0%,5,불멸의 철갑궁 + 무한의 대검,57.1%,7,몰락한 왕의 검 + 불멸의 철갑궁,51.2%,80,무한의 대검 + 몰락한 왕의 검,50.0%,16,몰락한 왕의 검 + 무한의 대검,26.7%,15
미스 포츈,50.0%,312,리안드리의 고통 + 어둠불꽃 횃불,83.3%,6,징수의 총 + 피바라기,66.7%,9,피바라기 + 무한의 대검,66.7%,6,징수의 총 + 무라마나,43.9%,41,어둠불꽃 횃불 + 리안드리의 고통,56.8%,37,징수의 총 + 원칙의 원형낫,35.3%,34
갱플랭크,50.0%,158,삼위일체 + 징수의 총,54.1%,61,삼위일체 + 무한의 대검,37.5%,16,-,-,-,삼위일체 + 징수의 총,54.1%,61,삼위일체 + 무한의 대검,37.5%,16,-,-,-
질리언,50.0%,142,악의 + 대천사의 포옹,80.0%,5,루덴의 메아리 + 우주의 추진력,77.8%,9,대천사의 포옹 + 루덴의 메아리,70.0%,10,루덴의 메아리 + 폭풍 쇄도,30.8%,13,대천사의 포옹 + 루덴의 메아리,70.0%,10,루덴의 메아리 + 우주의 추진력,77.8%,9
럭스,50.0%,224,악의 + 라바돈의 죽음모자,80.0%,5,악의 + 그림자불꽃,57.1%,7,루덴의 메아리 + 그림자불꽃,52.8%,36,루덴의 메아리 + 폭풍 쇄도,45.0%,40,루덴의 메아리 + 그림자불꽃,52.8%,36,루덴의 메아리 + 지평선의 초점,38.5%,13
카밀,50.0%,100,삼위일체 + 갈라진 하늘,59.0%,39,삼위일체 + 스테락의 도전,40.0%,5,굶주린 히드라 + 삼위일체,40.0%,5,삼위일체 + 갈라진 하늘,59.0%,39,삼위일체 + 죽음의 무도,37.5%,8,삼위일체 + 굶주린 히드라,28.6%,7
그웬,50.0%,90,균열 생성기 + 내셔의 이빨,47.5%,40,균열 생성기 + 존야의 모래시계,33.3%,9,-,-,-,균열 생성기 + 내셔의 이빨,47.5%,40,균열 생성기 + 존야의 모래시계,33.3%,9,-,-,-
자헨,50.0%,16,갈라진 하늘 + 쇼진의 창,40.0%,5,-,-,-,-,-,-,갈라진 하늘 + 쇼진의 창,40.0%,5,-,-,-,-,-,-
제라스,49.8%,267,악의 + 지평선의 초점,83.3%,6,루덴의 메아리 + 모렐로노미콘,80.0%,5,루덴의 메아리 + 리안드리의 고통,80.0%,5,루덴의 메아리 + 지평선의 초점,41.4%,87,루덴의 메아리 + 그림자불꽃,53.8%,39,루덴의 메아리 + 라바돈의 죽음모자,64.7%,17
탈리야,49.7%,185,루덴의 메아리 + 라바돈의 죽음모자,77.8%,9,대천사의 포옹 + 리안드리의 고통,66.7%,9,루덴의 메아리 + 그림자불꽃,65.4%,26,루덴의 메아리 + 그림자불꽃,65.4%,26,어둠불꽃 횃불 + 리안드리의 고통,42.3%,26,루덴의 메아리 + 폭풍 쇄도,46.2%,13
비에고,49.7%,195,크라켄 학살자 + 징수의 총,100.0%,6,징수의 총 + 무한의 대검,80.0%,5,삼위일체 + 징수의 총,50.0%,28,갈라진 하늘 + 몰락한 왕의 검,46.9%,32,삼위일체 + 징수의 총,50.0%,28,삼위일체 + 갈라진 하늘,46.7%,15
말자하,49.6%,133,어둠불꽃 횃불 + 핏빛 저주,80.0%,5,대천사의 포옹 + 리안드리의 고통,60.0%,5,어둠불꽃 횃불 + 라일라이의 수정홀,55.6%,9,어둠불꽃 횃불 + 리안드리의 고통,51.1%,47,악의 + 리안드리의 고통,53.8%,13,어둠불꽃 횃불 + 라일라이의 수정홀,55.6%,9
에코,49.6%,129,마법공학 로켓 벨트 + 존야의 모래시계,64.7%,17,리치베인 + 마법공학 로켓 벨트,60.0%,10,라바돈의 죽음모자 + 마법공학 로켓 벨트,60.0%,5,마법공학 로켓 벨트 + 리치베인,36.4%,22,마법공학 로켓 벨트 + 존야의 모래시계,64.7%,17,리치베인 + 마법공학 로켓 벨트,60.0%,10
리 신,49.6%,282,오만 + 월식,60.0%,10,월식 + 죽음의 무도,55.6%,9,갈라진 하늘 + 월식,54.8%,31,월식 + 갈라진 하늘,47.3%,74,갈라진 하늘 + 월식,54.8%,31,오만 + 월식,60.0%,10
트위치,49.4%,166,몰락한 왕의 검 + 루난의 허리케인,57.9%,19,윤 탈 야생화살 + 루난의 허리케인,57.1%,35,크라켄 학살자 + 루난의 허리케인,44.4%,9,윤 탈 야생화살 + 루난의 허리케인,57.1%,35,몰락한 왕의 검 + 루난의 허리케인,57.9%,19,징수의 총 + 루난의 허리케인,38.9%,18
FiddleSticks,49.3%,144,존야의 모래시계 + 리안드리의 고통,54.5%,11,악의 + 리안드리의 고통,52.9%,34,악의 + 존야의 모래시계,51.9%,27,악의 + 리안드리의 고통,52.9%,34,악의 + 존야의 모래시계,51.9%,27,존야의 모래시계 + 리안드리의 고통,54.5%,11
파이크,49.3%,215,요우무의 유령검 + 밤의 끝자락,66.7%,6,오만 + 요우무의 유령검,63.6%,11,징수의 총 + 원칙의 원형낫,61.5%,13,오만 + 원칙의 원형낫,39.1%,46,요우무의 유령검 + 원칙의 원형낫,47.1%,17,징수의 총 + 원칙의 원형낫,61.5%,13
